#T	<E>/N	<M>/N	chi/N	C/N
4.2101	-0.437472	0.2756	0.221371	0.136751
4.2201	-0.4388	0.276816	0.220333	0.137338
4.2301	-0.435296	0.273392	0.217095	0.136269
4.2401	-0.43424	0.270968	0.215827	0.135722
4.2501	-0.441248	0.276256	0.225094	0.139723
4.2601	-0.442448	0.278536	0.222799	0.13602
4.2701	-0.433776	0.273872	0.221474	0.1386
4.2801	-0.43448	0.2742	0.220161	0.134855
4.2901	-0.431728	0.270984	0.217729	0.135615
4.3001	-0.437104	0.275984	0.221378	0.135772
4.3101	-0.432752	0.270968	0.214445	0.129964
4.3201	-0.434976	0.27536	0.217552	0.128781
4.3301	-0.433328	0.276312	0.212103	0.12776
4.3401	-0.426272	0.272104	0.206836	0.128712
4.3501	-0.435024	0.275664	0.20938	0.12615
4.3601	-0.424768	0.27176	0.210923	0.130813
4.3701	-0.433008	0.275128	0.216416	0.131572
4.3801	-0.427696	0.275376	0.207851	0.126808
4.3901	-0.430976	0.272504	0.210113	0.127546
4.4001	-0.427696	0.274352	0.205894	0.12665
4.4101	-0.420432	0.270952	0.199394	0.12263
4.4201	-0.417712	0.26852	0.205661	0.127607
4.4301	-0.42464	0.272696	0.202959	0.12263
4.4401	-0.420464	0.268424	0.202142	0.123716
4.4501	-0.418256	0.269376	0.199272	0.121129
4.4601	-0.418208	0.268472	0.200022	0.11928
4.4701	-0.41832	0.268264	0.200113	0.118578
4.4801	-0.419072	0.271512	0.203468	0.123164
4.4901	-0.410688	0.265288	0.19718	0.121414
4.5001	-0.413856	0.266112	0.197495	0.119502
4.5101	-0.417824	0.26824	0.195139	0.117541
4.5201	-0.408672	0.266584	0.196172	0.118333
4.5301	-0.411792	0.265936	0.195298	0.11808
4.5401	-0.410448	0.267488	0.194066	0.114616
4.5501	-0.410848	0.265352	0.196911	0.115181
4.5601	-0.4096	0.265656	0.189657	0.112731
4.5701	-0.412464	0.267408	0.191051	0.115193
4.5801	-0.4092	0.265184	0.189128	0.11422
4.5901	-0.406368	0.264	0.188705	0.113001
4.6001	-0.406416	0.265832	0.186588	0.113129
4.6101	-0.404688	0.263208	0.189221	0.110897
4.6201	-0.401312	0.26192	0.184485	0.111535
4.6301	-0.405248	0.263904	0.188088	0.112284
4.6401	-0.401872	0.262504	0.18624	0.112295
4.6501	-0.400528	0.26292	0.183432	0.108898
4.6601	-0.407584	0.263344	0.189203	0.10772
4.6701	-0.397936	0.261064	0.185009	0.11041
4.6801	-0.405328	0.264032	0.184296	0.109449
4.6901	-0.398784	0.263656	0.188815	0.111053
4.7001	-0.401072	0.26168	0.18586	0.10891
4.7101	-0.403008	0.261032	0.185728	0.109336
4.7201	-0.399984	0.2622	0.186667	0.11007
4.7301	-0.398048	0.260776	0.183639	0.109083
4.7401	-0.40216	0.261392	0.181137	0.105794
4.7501	-0.3956	0.25988	0.180592	0.107982
4.7601	-0.39128	0.258944	0.178273	0.103981
4.7701	-0.389824	0.257368	0.174818	0.1034
4.7801	-0.399776	0.263816	0.180193	0.104851
4.7901	-0.391952	0.258248	0.173978	0.103152
4.8001	-0.388912	0.257192	0.173284	0.102887
4.8101	-0.39056	0.258896	0.176043	0.102101
4.8201	-0.394528	0.258584	0.176582	0.102331
4.8301	-0.391936	0.260192	0.180438	0.101662
4.8401	-0.391664	0.261888	0.178084	0.102065
4.8501	-0.386848	0.258624	0.174195	0.100498
4.8601	-0.389136	0.260552	0.172454	0.101143
4.8701	-0.385376	0.255656	0.169738	0.0970514
4.8801	-0.388832	0.255624	0.171887	0.100875
4.8901	-0.387952	0.259328	0.177254	0.104368
4.9001	-0.377696	0.253984	0.166215	0.0960832
4.9101	-0.388976	0.258864	0.172686	0.0980385
4.9201	-0.389328	0.257792	0.171741	0.095512
4.9301	-0.378944	0.253	0.16628	0.095605
4.9401	-0.378576	0.253208	0.165507	0.0946385
4.9501	-0.38288	0.256496	0.165443	0.0945276
4.9601	-0.377904	0.252464	0.16151	0.0912354
4.9701	-0.382064	0.253928	0.163425	0.0951359
4.9801	-0.378192	0.255488	0.162931	0.0916728
4.9901	-0.379552	0.254264	0.166275	0.0949334
5.0001	-0.375056	0.251168	0.15938	0.090953
