#T	<E>/N	<M>/N	chi/N	C/N
4.4601	-0.50976	0.310968	0.25459	0.153896
4.4701	-0.5032	0.30308	0.252174	0.149127
4.4801	-0.49824	0.301024	0.239257	0.142711
4.4901	-0.494944	0.297584	0.240547	0.13978
4.5001	-0.501056	0.302168	0.243832	0.142459
4.5101	-0.503104	0.304544	0.245397	0.14054
4.5201	-0.493744	0.301848	0.239985	0.141543
4.5301	-0.495024	0.301256	0.243968	0.140856
4.5401	-0.485504	0.293976	0.23358	0.137461
4.5501	-0.491344	0.29744	0.236446	0.139243
4.5601	-0.4848	0.293984	0.232614	0.135374
4.5701	-0.48544	0.295048	0.238276	0.13893
4.5801	-0.487984	0.29792	0.234665	0.133554
4.5901	-0.481072	0.29204	0.228166	0.133071
4.6001	-0.47952	0.29512	0.232019	0.131067
4.6101	-0.477216	0.290792	0.232203	0.131526
4.6201	-0.473296	0.289984	0.226448	0.131795
4.6301	-0.475888	0.293728	0.225127	0.130208
4.6401	-0.476112	0.29324	0.224461	0.130114
4.6501	-0.470752	0.28664	0.221487	0.127798
4.6601	-0.477552	0.292528	0.227397	0.130743
4.6701	-0.47416	0.292192	0.223398	0.12822
4.6801	-0.473168	0.289888	0.222297	0.127448
4.6901	-0.464544	0.287696	0.216952	0.123021
4.7001	-0.471264	0.295656	0.222157	0.128685
4.7101	-0.47144	0.289096	0.216249	0.121328
4.7201	-0.462704	0.283624	0.211373	0.121222
4.7301	-0.46376	0.288432	0.210008	0.118707
4.7401	-0.467104	0.291288	0.218176	0.126342
4.7501	-0.469536	0.28832	0.21523	0.122481
4.7601	-0.465776	0.287064	0.214762	0.120825
4.7701	-0.461408	0.288968	0.215447	0.121034
4.7801	-0.457792	0.285528	0.210651	0.121576
4.7901	-0.464176	0.289328	0.215591	0.124581
4.8001	-0.459424	0.286448	0.206412	0.11653
4.8101	-0.454336	0.284368	0.214529	0.12294
4.8201	-0.456864	0.28512	0.20533	0.113395
4.8301	-0.450704	0.28068	0.202266	0.112081
4.8401	-0.453568	0.28092	0.200887	0.111144
4.8501	-0.450016	0.278352	0.19893	0.113471
4.8601	-0.45392	0.28268	0.209529	0.116629
4.8701	-0.457968	0.287968	0.206336	0.113506
4.8801	-0.448672	0.279976	0.197245	0.111451
4.8901	-0.447808	0.27712	0.197503	0.109868
4.9001	-0.434976	0.273544	0.190468	0.108473
4.9101	-0.447792	0.282896	0.199767	0.112223
4.9201	-0.4432	0.279224	0.19759	0.110224
4.9301	-0.445296	0.279168	0.201456	0.113207
4.9401	-0.44264	0.279296	0.198594	0.111577
4.9501	-0.44272	0.276696	0.195467	0.110752
4.9601	-0.4432	0.280056	0.193941	0.109847
4.9701	-0.432736	0.272536	0.189775	0.102883
4.9801	-0.442144	0.277576	0.191713	0.106002
4.9901	-0.4428	0.280192	0.195978	0.108701
5.0001	-0.432384	0.272152	0.186802	0.104521
